label	key	technique	category	institute	source	experiment	developmental-stage	tissue	condition	summary	citation	project	accession	date	analyst	filename	SCIPRJ	access_level	biosample	NGS_file	MLONG
MOLNG-1571.11.pos.bw	M-g-1.pos	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult male	gonad		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775978	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.11.pos.bw	[SCI-002413] Germline development in Nematostella		SAMN16376584	s_3_1_ACAGTG.fastq.gz	
MOLNG-1571.23.pos.bw	M-g-2.pos	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult male	gonad		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775964	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.23.pos.bw	[SCI-002413] Germline development in Nematostella		SAMN16376596	s_3_1_GGCTAC.fastq.gz	
MOLNG-1571.24.pos.bw	M-g-3.pos	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult male	gonad		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775963	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.24.pos.bw	[SCI-002413] Germline development in Nematostella		SAMN16376597	s_3_1_GTCCGC.fastq.gz	
## oranges: male -																					
MOLNG-1571.11.neg.bw	M-g-1.neg	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult male	gonad		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775978	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.11.neg.bw	[SCI-002413] Germline development in Nematostella		SAMN16376584	s_3_1_ACAGTG.fastq.gz	
MOLNG-1571.23.neg.bw	M-g-2.neg	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult male	gonad		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775964	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.23.neg.bw	[SCI-002413] Germline development in Nematostella		SAMN16376596	s_3_1_GGCTAC.fastq.gz	
MOLNG-1571.24.neg.bw	M-g-3.neg	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult male	gonad		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775963	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.24.neg.bw	[SCI-002413] Germline development in Nematostella		SAMN16376597	s_3_1_GTCCGC.fastq.gz	
## greens: female + 																					
MOLNG-1571.19.pos.bw	F-g-1.pos	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult female	gonad		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775968	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.19.pos.bw	[SCI-002413] Germline development in Nematostella		SAMN16376592	s_3_1_CGATGT.fastq.gz	
MOLNG-1571.12.pos.bw	F-g-2.pos	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult female	gonad		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775976	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.12.pos.bw	[SCI-002413] Germline development in Nematostella		SAMN16376585	s_3_1_ACTTGA.fastq.gz	
MOLNG-1571.14.pos.bw	F-g-3.pos	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult female	gonad		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775974	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.14.pos.bw	[SCI-002413] Germline development in Nematostella		SAMN16376587	s_3_1_AGTTCC.fastq.gz	
## greens: female -																					
MOLNG-1571.19.neg.bw	F-g-1.neg	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult female	gonad		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775968	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.19.neg.bw	[SCI-002413] Germline development in Nematostella		SAMN16376592	s_3_1_CGATGT.fastq.gz	
